y,x1,x2,sem1,sem2,tchid,schid,stuid
28.97016772,0.733496513,1.598942126,0.595864274,0.384670856,1,1,1
8.619907014,-0.159871726,-0.423920319,0.301740084,0.300130869,1,1,2
22.41289314,0.206848146,1.190249836,0.302978945,0.397293184,1,1,3
7.320732986,-0.763172763,-0.313312451,0.307320955,0.311307507,1,1,4
32.37819459,-0.634915085,0.153269196,0.354670107,0.308345917,1,1,5
29.67086989,-0.303284891,-1.56530064,0.305507624,0.446546205,1,1,6
22.18495763,-1.641986029,0.576954798,0.426278896,0.300663928,1,1,7
12.96158832,-0.244646519,-0.494872865,0.30109085,0.319233531,1,1,8
9.501906856,-0.907812391,-0.089866883,0.444948748,0.33387296,1,1,9
30.38241288,-0.816492556,-1.204699366,0.366862706,0.382691112,1,1,10
2.551360057,3.25496116,1.010964434,0.822721132,0.533092719,1,1,11
8.710187479,-0.172152683,-0.211317705,0.300000266,0.314586017,1,1,12
13.75197999,-0.28214453,-0.497057797,0.313696245,0.313526506,1,1,13
40.10700326,1.420809673,2.147090514,0.456432605,0.481776566,1,1,14
3.03671437,-1.272493672,-1.009503737,0.427716186,0.487178127,1,1,15
4.698047988,0.56825532,-0.72823363,0.30378605,0.305160449,1,1,16
21.56389465,-0.25391681,-0.433847464,0.320373353,0.306650735,1,1,17
18.60781273,-1.513093206,-2.119377003,0.427513311,0.5435569,1,1,18
10.61266362,-0.416869524,-0.855497616,0.381093092,0.381123063,1,1,19
1.356254117,-0.483478014,0.547125096,0.307208948,0.326030799,1,1,20
18.06007568,-1.595037886,0.711114347,0.751608913,0.341778433,1,1,21
8.991163332,1.412928008,0.655008996,0.444113391,0.473422093,1,1,22
8.254705355,0.561117238,-0.207753137,0.319474029,0.320237274,1,1,23
9.180331414,-2.702458199,-1.355439176,0.901143621,0.687751078,1,1,24
9.488017394,-0.681140449,-0.494967653,0.327191437,0.325585447,1,1,25
27.48940929,-0.486802231,-0.575385547,0.300109737,0.320179318,2,1,26
25.9495106,0.347866635,-0.210613146,0.359546054,0.300022653,2,1,27
